DEPTH	BHC	CLI	GR	LLD	LLS	MLL	NPHI	SP
1535.375	65.174	9.2968	48.794	16.8315	14.2706	18.7682	0.0844	75.9465
1535.5	65.174	9.2968	48.794	16.842	14.2615	18.631	0.0844	75.9465
1535.625	65.174	9.2968	48.794	16.8525	14.2524	18.4938	0.0844	75.9465
1535.75	65.2175	9.297	44.572	16.863	14.2432	18.3565	0.078485	75.8832
1535.875	65.261	9.2972	45.019	16.8735	14.2341	18.2192	0.07141	75.82
1536	65.261	9.2972	45.019	16.884	14.225	18.082	0.07141	75.82
1536.125	65.261	9.2972	45.019	11.1821	11.3135	13.8997	0.07141	75.82
1536.25	66.8867	9.2974	50.9055	11.0912	11.233	13.8495	0.0686	73.2815
1536.375	66.9635	9.2976	54.447	11.0004	11.1525	13.7992	0.06847	73.195
1536.5	66.9635	9.2976	54.447	10.9095	11.072	13.749	0.06847	73.195
1536.625	66.9635	9.2976	54.447	10.8186	10.9915	13.6987	0.06847	73.195
1536.75	67.0402	9.2978	55.2275	10.7277	10.911	13.6485	0.07226	73.1085
1536.875	67.117	9.298	55.997	10.6369	10.8305	13.5983	0.07793	73.022
1537	67.117	9.298	55.997	10.546	10.75	13.548	0.07793	73.022
1537.125	67.117	9.298	55.997	7.1105	6.9454	7.8057	0.07793	73.022
1537.25	75.5188	9.2982	55.6495	7.029	6.8938	7.8755	0.077465	75.0993
1537.375	75.3595	9.2984	55.47	6.9475	6.8421	7.9453	0.07574	75.2375
1537.5	75.3595	9.2984	55.47	6.866	6.7905	8.015	0.07574	75.2375
1537.625	75.3595	9.2984	55.47	6.7845	6.7389	8.0848	0.07574	75.2375
1537.75	75.2002	9.2986	58.829	6.703	6.6873	8.1545	0.07911	75.3757
1537.875	75.041	9.2988	65.489	6.6215	6.6356	8.2242	0.09148	75.514
1538	75.041	9.2988	65.489	6.54	6.584	8.294	0.09148	75.514
1538.125	75.041	9.2988	65.489	5.9434	9.5113	8.0792	0.09148	75.514
1538.25	69.6543	9.299	67.679	5.9107	9.4815	8.0955	0.10557	76.8685
1538.375	68.9475	9.32	64.833	5.8781	9.4518	8.1117	0.10759	76.832
1538.5	68.9475	9.32	64.833	5.8455	9.422	8.128	0.10759	76.832
1538.625	68.9475	9.32	64.833	5.8129	9.3923	8.1442	0.10759	76.832
1538.75	68.2407	9.4775	64.0295	5.7803	9.3625	8.1605	0.102435	76.7955
1538.875	67.534	9.551	61.685	5.7476	9.3328	8.1768	0.11124	76.759
1539	67.534	9.551	61.685	5.715	9.303	8.193	0.11124	76.759
1539.125	67.534	9.551	61.685	23.7868	15.3279	34.7805	0.11124	76.759
1539.25	61.317	9.2405	55.9545	24.3945	15.6047	35.27	0.126085	71.8528
1539.375	61.051	8.945	58.233	25.0023	15.8816	35.7595	0.1141	72.0205
1539.5	61.051	8.945	58.233	25.61	16.1585	36.249	0.1141	72.0205
1539.625	61.051	8.945	58.233	26.2178	16.4354	36.7385	0.1141	72.0205
1539.75	60.785	8.894	62.6195	26.8255	16.7122	37.228	0.096235	72.1882
1539.875	60.519	8.871	56.179	27.4333	16.9891	37.7175	0.07153	72.356
1540	60.519	8.871	56.179	28.041	17.266	38.207	0.07153	72.356
1540.125	60.519	8.871	56.179	36.2839	31.9699	32.4043	0.07153	72.356
1540.25	61.0283	8.834	46.1285	36.1777	31.8807	32.3415	0.050275	77.8223
1540.375	61.2015	8.807	37.994	36.0716	31.7916	32.2787	0.03736	77.9685
1540.5	61.2015	8.807	37.994	35.9655	31.7025	32.216	0.03736	77.9685
1540.625	61.2015	8.807	37.994	35.8594	31.6134	32.1533	0.03736	77.9685
1540.75	61.3747	8.7925	32.1065	35.7533	31.5243	32.0905	0.03236	78.1148
1540.875	61.548	8.769	31.215	35.6471	31.4351	32.0277	0.03433	78.261
1541	61.548	8.769	31.215	35.541	31.346	31.965	0.03433	78.261
1541.125	61.548	8.769	31.215	34.9836	26.5995	32.5245	0.03433	78.261
1541.25	61.786	8.7595	36.554	35.1343	26.65	32.457	0.041035	79.2077
1541.375	61.726	8.748	42.506	35.2849	26.7005	32.3895	0.04774	79.1315
1541.5	61.726	8.748	42.506	35.4355	26.751	32.322	0.04774	79.1315
1541.625	61.726	8.748	42.506	35.5861	26.8015	32.2545	0.04774	79.1315
1541.75	61.666	8.716	44.0735	35.7367	26.852	32.187	0.055115	79.0552
1541.875	61.606	8.7	45.421	35.8874	26.9025	32.1195	0.06419	78.979
1542	61.606	8.7	45.421	36.038	26.953	32.052	0.06419	78.979
