DEPTH	CLI	DCOR	GR	LLD	LLS	MLL	NPHI	PEF	RHOB	SP
1050.5	9.0358	0.029204	89.6601	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1050.75	9.0278	0.033499	88.6601	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1051	8.998	0.037052	89.6716	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1051.25	8.9355	0.039491	93.7016	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1051.5	8.896	0.040841	94.1356	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1051.75	8.891	0.040557	89.1734	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1052	8.7964	0.032053	89.7796	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1052.25	8.6794	0.02149	91.7796	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1052.5	8.6325	0.023838	89.65	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1052.75	8.6082	0.028119	87.126	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1053	8.6042	0.027203	87.156	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1053.25	8.602	0.032862	86.8835	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1053.5	8.607	0.064793	85.4023	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1053.75	8.6207	0.078002	83.7598	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1054	8.6402	0.078735	82.0098	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1054.25	8.6387	0.061291	81.103	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1054.5	8.6232	0.031734	80.758	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1054.75	8.5611	0.017456	77.7135	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1055	8.468	0.01336	72.87	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1055.25	8.4955	0.005209	73.935	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1055.5	8.523	-0.002941	75	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1055.75	8.518	0.002297	76.4437	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1056	8.526	0.005456	78.7596	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1056.25	8.5535	0.005495	82.3846	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1056.5	8.5543	0.006795	83.9202	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1056.75	8.5149	0.009992	82.3203	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
